# ISel/expression-level operand descriptor KIND enum.
# Each operand descriptor is a 32-byte record: array base at operand_list+32, stride 32.
#   byte[0]  = kind tag (this enum)
#   +4 dword = value/id   (e.g. 1023, 1 seen)
#   +14 byte = settable sub-field (sub_B28F10 writes it)
#   +20 dword = secondary id
# Descriptor count at operand_list+92 (sub_B28F50); arg split = +40+1-+92 (sub_B28F40).
# Accessor: sub_B28F30(list, i) = *(list+32) + 32*i.
# Each kind has a dedicated 1-line predicate helper f(char tag){return tag==K;}
kind	helper_va	helper	meaning_inferred	confidence
1	0xB28E20	sub_B28E20	register	high (cross-checked: >>28==1 register path)
2	0xB28E10	sub_B28E10	predicate register	high
3	0xB28E80	sub_B28E80	(operand class 3)	med
4	0xB28E70	sub_B28E70	(operand class 4)	med
5	0xB28E60	sub_B28E60	(operand class 5)	med
6	0xB28E30	sub_B28E30	guard predicate (last operand)	high (sub_7E0650:29 last-op ==6)
7	0xB28ED0	sub_B28ED0	(operand class 7)	med
8	0xB28EF0	sub_B28EF0	(operand class 8)	med
9	0xB28E50	sub_B28E50	(operand class 9)	med
10	0xB28E40	sub_B28E40	(operand class 10)	med
11	0xB28EE0	sub_B28EE0	(operand class 11)	med
13	0xB28EA0	sub_B28EA0	(operand class 13)	med
14	0xB28EB0	sub_B28EB0	(operand class 14)	med
15	0xB28E90	sub_B28E90	(operand class 15)	med
16	0xB28EC0	sub_B28EC0	(operand class 16)	med
# Note: kinds 0,12 have no observed helper in the 0xB28E00-0xB28EF0 bank.
# sub_B28E00 = identity (returns the tag). This is the operand-type predicate dispatch table.
